time,flux,flux_err,bge,quality,bgv,fdv,fkv,fsv,ife1,ife2,ife3,ifl1,ifl2,ifl3,ire1,ire2,ire3,irm1,irm2,irm3,irq1,irq2,irq3,rstfc,tmid_utc,xic,yic,ccdtemp,ntemps,bjdcorr,tfa1,tfa2,tfa3,pca1,pca2,pca3
2459088.4932185607,7.88214,nan,0.33,G,0.04,0.0519047908,-0.00514645366,1.10987476,65.74,80.51,88.71,22557.78,33828.66,41072.37,0.00316,0.00258,0.00235,7.88214,7.44217,7.2315,G,G,G,tess2020239233914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4890526,1238.1941,535.663213,-80.15660111111113,9.0,0.003365234998785524,7.884012232550493,7.441437705992712,7.230362072227611,7.882986394660101,7.440676180786464,7.230960779085502
2459088.500163234,7.88174,nan,0.3,G,0.1,0.0513825678,-0.00507013746,1.10902175,65.75,80.52,88.72,22565.98,33843.8,41079.54,0.00316,0.00258,0.00234,7.88174,7.44168,7.23131,G,G,G,tess2020239234914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4959971,1238.19364,535.665792,-80.16297111111109,9.0,0.003365408202066332,7.883847187195726,7.441166302530712,7.231372781915852,7.882559499721158,7.440155853199481,7.230717073421574
2459088.507107807,7.8813,nan,0.29,G,0.12,0.051842353,-0.00337154279,1.10764631,65.76,80.54,88.73,22575.16,33853.29,41088.83,0.00316,0.00258,0.00234,7.8813,7.44138,7.23107,G,G,G,tess2020239235914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5029415,1238.19279,535.663222,-80.167704375,8.0,0.003365581355933112,7.883817479293474,7.440348208528429,7.230515604887745,7.882110074953467,7.439848468106148,7.230458165069536
2459088.5140523803,7.88203,nan,0.31,G,-0.06,0.0517867423,-0.00436511652,1.11038898,65.74,80.53,88.73,22560.02,33845.0,41086.21,0.00316,0.00258,0.00234,7.88203,7.44164,7.23114,G,G,G,tess2020240000914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5098859,1238.19297,535.664754,-80.16014000000001,9.0,0.0033657544628926885,7.883956180448861,7.440849468715123,7.23075252977481,7.882917191469211,7.440209010121134,7.230691471286691
2459088.520997053,7.88195,nan,0.33,G,-0.0,0.0519760245,-0.00424739621,1.11133018,65.75,80.52,88.72,22561.61,33842.07,41083.09,0.00316,0.00258,0.00234,7.88195,7.44174,7.23122,G,G,G,tess2020240001914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5168304,1238.19452,535.663828,-80.16428049999998,10.0,0.003365927525414477,7.884054890360763,7.441063112132438,7.231671155946434,7.882810751958634,7.440275594810816,7.230722651878612
2459088.527941626,7.88213,nan,0.35,G,0.04,0.0515367422,-0.00454599795,1.11048444,65.74,80.51,88.71,22557.88,33833.66,41070.03,0.00316,0.00258,0.00235,7.88213,7.44201,7.23157,G,G,G,tess2020240002914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5237748,1238.19422,535.664803,-80.166965,7.0,0.0033661005385179845,7.883496502443486,7.441955208415346,7.231694311111624,7.882972539649388,7.440522919273881,7.2310397484957685
2459088.5348862987,7.88171,nan,0.33,G,-0.01,0.0519054564,-0.00400183185,1.11082933,65.75,80.53,88.73,22566.56,33850.5,41092.38,0.00316,0.00258,0.00234,7.88171,7.44147,7.23097,G,G,G,tess2020240003914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5307193,1238.19482,535.665167,-80.16196,7.0,0.003366273507189884,7.8832769302811405,7.4401619118310585,7.231551408796007,7.882571979845454,7.440012671908302,7.230482484699762
2459088.5418308717,7.88157,nan,0.29,G,0.1,0.0518817666,-0.00426214464,1.11254839,65.76,80.54,88.74,22569.55,33857.28,41097.41,0.00316,0.00258,0.00234,7.88157,7.44125,7.23084,G,G,G,tess2020240004914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5376637,1238.19263,535.663876,-80.165315625,8.0,0.003366446426452284,7.883342103706885,7.441122633779568,7.230898283109062,7.88238606473492,7.439735365168157,7.230254210054742
2459088.548775545,7.88152,nan,0.31,G,0.03,0.050764316,-0.00407129708,1.10994586,65.76,80.53,88.73,22570.6,33849.71,41092.26,0.00316,0.00258,0.00234,7.88152,7.44149,7.23098,G,G,G,tess2020240005914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5446082,1238.19379,535.664989,-80.16969499999999,10.0,0.0033666193012659136,7.883702116808399,7.440888921270239,7.230549939443844,7.882365201006441,7.4400157528204,7.230457857093003
2459088.555720118,7.88243,nan,0.32,G,0.0,0.0510254941,-0.00400360089,1.10914944,65.73,80.52,88.73,22551.63,33838.21,41084.91,0.00316,0.00258,0.00234,7.88243,7.44186,7.23117,G,G,G,tess2020240010914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5515526,1238.19476,535.666479,-80.17146444444444,9.0,0.0033667921266673866,7.884168452865881,7.440545057593461,7.231181579659196,7.8832857241902,7.440403030537984,7.2306778522635415
2459088.5626646904,7.8821,nan,0.29,G,-0.04,0.0507533631,-0.00419297533,1.1115651,65.74,80.52,88.72,22558.63,33836.79,41082.11,0.00316,0.00258,0.00234,7.8821,7.44191,7.23125,G,G,G,tess2020240011914-s0029-2-2-0193_cal_img_bkgdsub,2459088.558497,1238.19279,535.664158,-80.16898722222223,9.0,0.0033669649051239836,7.88369691712617,7.441244934145605,7.231046096057325,7.882971738982642,7.440473828526746,7.230796155356987
2459088.569609363,7.88264,nan,0.31,G,-0.04,0.0513842217,-0.00442766338,1.11239677,65.72,80.51,88.72,22547.24,33828.21,41076.12,0.00316,0.00258,0.00234,7.88264,7.44218,7.2314,G,G,G,tess2020240012914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5654415,1238.1954,535.665796,-80.16969499999999,7.0,0.003367137639135213,7.884025169409898,7.442094475448896,7.23151774355092,7.88350897186272,7.440744515061935,7.230947156788604
2459088.576553936,7.882,nan,0.31,G,0.02,0.0516118448,-0.00461687055,1.10891437,65.74,80.53,88.74,22560.55,33847.17,41094.91,0.00316,0.00258,0.00234,7.882,7.44157,7.23091,G,G,G,tess2020240013914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5723859,1238.19274,535.665016,-80.17571111111111,9.0,0.003367310323730048,7.883185255217377,7.441248328592747,7.230027111805102,7.882840958727728,7.440104042689366,7.230404276490681
2459088.5834986083,7.88184,nan,0.31,G,0.04,0.051624299,-0.0045849562,1.1112902,65.75,80.53,88.73,22563.98,33850.52,41090.27,0.00316,0.00258,0.00234,7.88184,7.44146,7.23103,G,G,G,tess2020240014914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5793304,1238.19393,535.66679,-80.17447250000002,10.0,0.0033674829638624597,7.883441726449596,7.440696605969057,7.2309481404236795,7.882670816780178,7.439981762727816,7.230509204651041
2459088.590443181,7.88141,nan,0.29,G,-0.07,0.0504921474,-0.00421446746,1.11287254,65.76,80.54,88.72,22572.85,33853.86,41085.14,0.00316,0.00258,0.00234,7.88141,7.44136,7.23117,G,G,G,tess2020240015914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5862748,1238.19358,535.66527,-80.17829449999998,10.0,0.0033676555545641023,7.883899158162007,7.441326169344343,7.23173942775871,7.882285464481122,7.439943235386971,7.2307489870575266
2459088.597387754,7.88184,nan,0.32,G,-0.04,0.0509328971,-0.00493094888,1.11380716,65.75,80.53,88.73,22563.92,33851.27,41086.97,0.00316,0.00258,0.00234,7.88184,7.44144,7.23112,G,G,G,tess2020240020914-s0029-2-2-0193_cal_img_bkgdsub,2459088.5932192,1238.19478,535.666338,-80.17224300000002,5.0,0.0033678280983338257,7.883621548854582,7.440146208457475,7.231194694816457,7.882700950852096,7.440007767507088,7.230675017617157
2459088.604332426,7.8817,nan,0.3,G,0.01,0.0510779926,-0.00422955058,1.11041252,65.75,80.53,88.72,22566.94,33852.33,41084.27,0.00316,0.00258,0.00234,7.8817,7.44141,7.23119,G,G,G,tess2020240021914-s0029-2-2-0193_cal_img_bkgdsub,2459088.6001637,1238.19428,535.66561,-80.18044437500002,8.0,0.0033680005976328667,7.883317406422242,7.441108550396211,7.231765931964848,7.882537064250166,7.439950314254433,7.230700945530278
2459088.611276998,7.88212,nan,0.27,G,0.14,0.0507693933,-0.003763326,1.11084311,65.74,80.52,88.72,22558.08,33840.61,41079.95,0.00316,0.00258,0.00234,7.88212,7.44178,7.2313,G,G,G,tess2020240022914-s0029-2-2-0193_cal_img_bkgdsub,2459088.6071081,1238.19289,535.665909,-80.17854222222222,9.0,0.0033681730474969976,7.883989554158618,7.4410233961649155,7.2309281977984785,7.882902298057026,7.440248851154686,7.230696026112223
2459088.6182216713,7.88235,nan,0.34,G,-0.1,0.0508657283,-0.00379431881,1.11038651,65.73,80.51,88.71,22553.41,33834.39,41071.0,0.00316,0.00258,0.00235,7.88235,7.44198,7.23154,G,G,G,tess2020240023914-s0029-2-2-0193_cal_img_bkgdsub,2459088.6140526,1238.19357,535.667566,-80.17893149999998,10.0,0.003368345452908132,7.882814833654715,7.441595060888231,7.231219935178197,7.883230616082823,7.440584480919488,7.231149769162353
2459088.6251662434,7.88166,nan,0.32,G,0.04,0.0513251603,-0.00451297783,1.10969118,65.75,80.54,88.73,22567.63,33853.09,41090.23,0.00316,0.00258,0.00234,7.88166,7.44138,7.23103,G,G,G,tess2020240024914-s0029-2-2-0193_cal_img_bkgdsub,2459088.620997,1238.19374,535.665888,-80.17988700000002,10.0,0.0033685178088701064,7.883043586667419,7.441438454764355,7.230589934403017,7.882479209929922,7.43990444473464,7.2305185314796665
2459088.6321108155,7.88192,nan,0.27,G,0.01,0.0527032116,-0.00527150406,1.11040791,65.75,80.53,88.72,22562.37,33845.93,41082.97,0.00316,0.00258,0.00234,7.88192,7.44161,7.23122,G,G,G,tess2020240025914-s0029-2-2-0193_cal_img_bkgdsub,2459088.6279414,1238.19325,535.667711,-80.18052399999998,10.0,0.003368690117878225,7.8831655929965105,7.4410815571359805,7.231767472492683,7.882751564894171,7.440149707456279,7.230736410855499
2459088.639055488,7.88205,nan,0.31,G,0.05,0.0525204479,-0.00432512045,1.11282247,65.74,80.52,88.71,22559.69,33837.38,41070.94,0.00316,0.00258,0.00235,7.88205,7.44189,7.23154,G,G,G,tess2020240030914-s0029-2-2-0193_cal_img_bkgdsub,2459088.6348859,1238.19335,535.665923,-80.18530150000002,10.0,0.003368862382425088,7.883818301484943,7.441662331688385,7.232262861451673,7.882862464543643,7.4404081000211315,7.23102399464537
